Qty-1,Part References,Value,Package,Mfg Part Num,Mfg Name,VID,Vendor Part Num,Description,Pkg Code,XREF
1,"SV1",,ML16,PRPC004DAAN-RC,Sullins Connector,DK,S2011EC-04-ND,CONN HEADER .100"" DUAL STR 8POS,ML16,REF194
2,"C1, C2",.1uF,0603,GRM188F51E104ZA01D,MURATA ELECTRONICS (VA),DK,490-1575-1-ND,CAP CER .1UF 25V Y5V 0603,603,REF96
1,"U1",TPS73028,SOT23-DBV,TPS73028DBVT,Texas Instruments,DK,296-18063-1-ND,IC REG LDO 2.8V 0.2A SOT23-5,SOT23-DBV,REF195
2,"W1, W2",WING8WING8_NOHOLES,WINGSIDE_8BIT_NOHOLES,68001-112HLF,FCI,DK,609-3275-ND,Papilio 8-bit Wing header. 12 Male Pin Headers to be split into 8 pins and 4 pins.,WINGSIDE_8BIT_NOHOLES,REF193
